f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,label
0.922640931372549,0.752267156862745,0.6628982843137254,0.9509957107843137,0.8224724264705883,0.5376378676470588,0.50703125,0.7872702205882353,0.8632199754901961,0.496032475490196,0.42527573529411766,0.7849724264705883,0.9950367647058824,0.682092524509804,0.618688725490196,0.9868106617647059,0.13883432545998822,0.20183111995922864,0.23008579043301733,0.12765867223705307,0.20181236252494833,0.1006170166374158,0.11483491238321691,0.203059768101023,0.16577494402175663,0.11578436686561504,0.09648374964239931,0.2410668212483627,0.03103364890300381,0.23780622206644905,0.24930988194887227,0.0650010049883445,0.23510742,0.529870845763374,0.5294976630015601,0.23510742,0.23510742,0.6875,0.90625,1.0,O
0.9565716911764706,0.8558057598039217,0.856219362745098,0.9530943627450981,0.9642616421568627,0.600030637254902,0.410952818627451,0.9400582107843138,0.924249387254902,0.3341911764705882,0.44511335784313727,0.919500612745098,0.9044117647058825,0.5082107843137255,0.7279258578431373,0.9256127450980393,0.00311563710556953,0.20255827913482927,0.20900886863100898,0.017351157157034253,0.0024960903174198606,0.26179155334055176,0.15789793747593578,0.08226615685584576,0.14132263911004575,0.04942464404782429,0.1632684113960913,0.14444985732545085,0.15624226239972558,0.2306542822057423,0.23777645918254256,0.10371723981699317,0.27929688,0.47568837371006256,0.5750382425043371,0.27929688,0.27929688,0.578125,0.84375,1.0,O
0.9486519607843137,0.66328125,0.8842371323529411,1.0,0.7473651960784313,0.5955269607843139,0.6497855392156862,0.9996783088235294,0.7949295343137255,0.5660386029411765,0.6986213235294116,0.9972426470588236,0.971078431372549,0.6594515931372549,0.8968137254901961,0.9951439950980393,0.1515161406692835,0.23592009955781523,0.18752577394681652,0.0,0.238169779065041,0.22221850423258188,0.17112727447162476,0.001076126764073739,0.2121440733364304,0.1527410065134803,0.17729389228503548,0.001921129339042994,0.09256856826609286,0.22279970354655304,0.15376791537673898,0.003863423441777968,0.12939453,0.36603773515841936,0.4119103765813012,0.12939453,0.12939453,0.578125,0.796875,1.0,O
1.0,0.9583792892156863,0.5065410539215687,0.5646446078431372,1.0,0.9701593137254902,0.6255055147058824,0.6816329656862745,1.0,0.9891237745098039,0.7831188725490197,0.7968137254901961,0.8713388480392158,0.8700061274509805,0.9092524509803921,0.9374540441176471,0.0,0.12374774386478622,0.12285495570890888,0.1391884849625318,0.0,0.1086060739997562,0.17224237390094027,0.16911842339509045,0.0,0.03731520803904506,0.10146888152603468,0.13437118600579656,0.12419619033269852,0.12347696700656147,0.1319299107087888,0.10990900626449676,0.095703125,0.706672510952366,0.20515784386439326,0.095703125,0.095703125,0.546875,0.5625,1.0,O
0.04690563725490196,0.1241268382352941,0.09998468137254901,0.1027267156862745,0.3591758578431372,0.5116268382352941,0.4546875,0.31132046568627453,0.3305606617647059,0.47248774509803926,0.39054840686274506,0.21786151960784314,0.024571078431372545,0.1399969362745098,0.054503676470588236,0.059757965686274506,0.17169456326434543,0.21577511241330768,0.2614179420077278,0.22838037941404857,0.3971550305251629,0.1592382331682517,0.3164160851401924,0.2248534694756366,0.3877941321577354,0.17880467869593974,0.26269844451478885,0.16949610154656186,0.12224863614991073,0.23107245200578405,0.16895618880076765,0.1282760962727857,0.7541504,0.5059232355111936,0.5012241014887588,0.7541504,0.7541504,1.0,1.0,1.0,O
0.3888020833333333,0.6101256127450979,0.503155637254902,0.3930453431372549,0.3732843137254902,0.640670955882353,0.7548560049019608,0.7942248774509806,0.2791513480392157,0.5823529411764705,0.8308210784313727,0.6510876225490196,0.41848958333333336,0.38569240196078436,0.3987132352941176,0.3926623774509804,0.09696892881734166,0.059598791027583864,0.14722993198528903,0.17209667677833965,0.19677587358520623,0.09443425673716678,0.09801101458481395,0.08326186691649198,0.1332996215793077,0.25783078886408134,0.08035139804730518,0.2275371720925629,0.06017952185455932,0.17117783914771265,0.26100541147834905,0.13164086453437956,0.46972656,0.3985105897097138,0.5736096670615334,0.46972656,0.46972656,1.0,1.0,1.0,O
0.2612285539215686,0.42028186274509804,0.3674325980392157,0.14002757352941175,0.3387867647058823,0.7708026960784313,0.5048406862745098,0.36135110294117645,0.6389705882352942,0.7192248774509804,0.5521446078431372,0.2810049019607843,0.5158547794117647,0.5379901960784315,0.43324142156862744,0.37265625,0.20130364887908087,0.23528345021519326,0.17676959866326017,0.15645839185655055,0.3047465614860205,0.18798384233565074,0.24224713744341547,0.2755996019438061,0.2843898858439222,0.1732889172423131,0.21567561213340197,0.19136613109768316,0.13756519708013867,0.14500796256756704,0.09953028481852548,0.13302950004660732,0.5908203,0.548682851012941,0.46570247914640395,0.5908203,0.5908203,1.0,1.0,1.0,O
0.4255055147058824,0.6365655637254902,0.5629442401960785,0.6413296568627451,0.39532781862745103,0.6444546568627452,0.8202205882352941,0.7917892156862746,0.4130514705882353,0.4926623774509804,0.6817861519607843,0.7387561274509803,0.4962622549019608,0.48439031862745097,0.6982843137254902,0.6442248774509803,0.11231321696135908,0.19836323380408896,0.21269191243617552,0.19230992699768407,0.17587583960211017,0.2801899540624087,0.1556991443259381,0.1899359181251423,0.08703584169232084,0.27156904178289937,0.18124890664132004,0.1742942606785877,0.043367421200683154,0.13721329515203196,0.2692851232518562,0.18952455433681417,0.4165039,0.3111902841083292,0.48751648564623884,0.4165039,0.4165039,1.0,1.0,1.0,O
0.5582107843137254,0.5736825980392156,0.5866421568627451,0.5806219362745098,0.49960171568627454,0.5144301470588235,0.4778952205882353,0.5676011029411764,0.4834252450980392,0.59140625,0.4585324754901961,0.4928002450980392,0.3033854166666667,0.503125,0.44500612745098045,0.4972579656862745,0.08943484380824399,0.09339959485689661,0.11668668214778172,0.11786645216637891,0.09793541053969855,0.1266433058287095,0.1176547727362171,0.12046299710853371,0.19194398149671663,0.12972880178677687,0.14764295545828623,0.17513676024868433,0.18672790777347506,0.14250199767834926,0.1591412828752013,0.14821661066714834,0.44189453,0.4500863257181843,0.5711930245463022,0.44189453,0.44189453,1.0,1.0,1.0,O
0.19800857843137257,0.27904411764705883,0.2962009803921568,0.2886488970588236,0.16199448529411764,0.44053308823529413,0.46003370098039215,0.3202512254901961,0.3275735294117647,0.31228553921568625,0.3747242647058824,0.34990808823529407,0.38714767156862745,0.5042126225490196,0.4095894607843137,0.3425091911764706,0.06604379600398959,0.0656632925482247,0.06280526660910557,0.05675337708657388,0.12077754476496637,0.15189022503538843,0.1556352518579129,0.105365109780385,0.05907816109704353,0.06288734468345394,0.0658895533853912,0.061676553268834,0.05871277798766311,0.2013758349418659,0.14647540201436093,0.07148020053982196,0.8972168,0.4908630951045271,0.47738945565241103,0.8972168,0.8972168,1.0,1.0,1.0,O
